sku_number;name;meta_description;product_styles1;product_styles2;product_styles3;weave;product_metarials1;product_metarials2;product_colors1;product_colors2;product_colors3;product_colors4;pattern;region;width_by_feet-f;width_by_feet-i;width_by_inches;length_by_feet-f;length_by_feet-i;length_by_inches;height;age;period_made;is_used;has_imperfection;condition_details;price;discount;retail_price;is_local_pickup;local_delivery_miles;pickup_charge;is_own_shipping;is_free_shipping;status
Am10292;Modern SImple Rug;A beautiful Modern design Hand Knotted by using hand spun finest wool to give the pile softer touch done by Master Artisans.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Brown;Charcoal;Gray;Tan;Strie;Pakistan;6;0;72;8;11;107;0,3;One of One Modern;2010s;;;Excellent condition. ;3360;0,1;6720;x;60;200,00;x;x;0
Am10294;Tribal Modern Wool Rug;A beautiful Modern tribal  design Hand Knotted by using hand spun finest wool to give the pile softer touch done by Master Artisans.;Tribal;Turkish;Shabby Chic;Hand Knotted;Wool;;Orange;Beige;Gray;Yellow;stripes;Pakistan;5;11;71;8;0;96;0,2;One of One Modern;2010s;;;Excellent condition. ;2800;0,1;5600;x;60;200,00;x;x;0
Am10295;Modern SImple Rug;A beautiful Modern design Hand Knotted by using hand spun finest wool and silk to give the pile softer touch done by Master Artisans.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;Silk;Tan;Taupe;Gray;Beige;strie;India;6;1;73;9;3;111;0,22;One of One Modern;2010s;;;Good condition, some color abrash. ;2700;0,1;5400;x;60;200,00;x;x;0
Am10296;Modern  Moroccan Rug;A beautiful Modern design Hand Knotted by using hand spun finest wool to give the pile softer touch done by Master Artisans.;Modern;Moroccan;Boho Chic;Hand Knotted;Wool;;Gray;Brown;Ivory;Tan;Geometric;Pakistan;5;3;63;7;9;93;0,2;One of One Modern;2010s;;;Excellent condition. ;1400;0,1;2800;x;60;200,00;x;x;0
Am10297;Mid Century Modern Turkish Kilim;A beautiful Modern kilim handwoven by Master Artisans using fine handspun wool. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkey. This Turkish style modern kilim rug is handwoven. ;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;Hemp;Gray;Brown;Charcoal ;Tan;stripes;Anatolia;6;9;81;10;0;120;0,14;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;3000;0,1;6000;x;60;200,00;x;x;0
Am10298;Mid Century Modern Turkish Kilim;A beautiful Modern kilim handwoven by Master Artisans using fine handspun wool. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkey. This Turkish style modern kilim rug is handwoven. ;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;Hemp;Beige;Charcoal;Red;Tan;stripes;Anatolia;6;10;82;13;9;165;0,14;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;3900;0,1;7800;x;60;200,00;x;x;0
Am10300;Mid Century Modern Turkish Kilim;A beautiful Modern kilim handwoven by Master Artisans using fine handspun wool. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkey. This Turkish style modern kilim rug is handwoven. ;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Hemp;;Gray;Purple;Charcoal ;Light Gray;Solid;Anatolia;6;0;72;16;2;194;0,15;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;4800;0,1;9600;x;60;200,00;x;x;0
Am10301;Mid Century Modern Turkish Kilim;A beautiful Modern kilim handwoven by Master Artisans using fine handspun wool. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkey. This Turkish style modern kilim rug is handwoven. ;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Orange;White;Beige;Blue;Stripes;Anatolia;4;8;56;6;9;81;0,14;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;1200;0,1;2400;x;60;200,00;x;x;0
Am10302;Mid Century Modern Turkish Kilim;A beautiful Modern kilim handwoven by Master Artisans using fine handspun wool. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkey. This Turkish style modern kilim rug is handwoven. ;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Tan;Charcoal;Blue;Beige;Strie;Anatolia;5;7;67;7;5;89;0,14;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;1750;0,1;3500;x;60;200,00;x;x;0
Am10303;Mid Century Modern Turkish Kilim;A beautiful Modern kilim handwoven by Master Artisans using fine handspun wool. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkey. This Turkish style modern kilim rug is handwoven. ;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Beige;Ivory;Black;Brown;Stripes;Anatolia;6;3;75;14;0;168;0,15;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;4200;0,1;8400;x;60;200,00;x;x;0
Am10305;Vintage Oushak Wool Rug;A beautiful Modern tribal design Hand Knotted by using hand spun finest wool to give the pile softer touch done by Master Artisans.;Tribal;Turkish;Shabby Chic;Hand Knotted;Wool;;Pink;Red;Gray;Tan;Geometric;Anatolia;5;2;62;8;4;100;0,18;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;2000;0,1;4000;x;60;200,00;x;x;0
Am10306;Vintage Oushak Wool Rug;A beautiful Modern tribal design Hand Knotted by using hand spun finest wool to give the pile softer touch done by Master Artisans.;Tribal;Turkish;Shabby Chic;Hand Knotted;Wool;;Blue;Tan ;Red;Brown;Geometric;Persia;4;4;52;7;7;91;0,18;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;1400;0,1;2800;x;60;200,00;x;x;0
Am10307;Mid Century Modern Turkish Kilim;A beautiful Modern kilim handwoven by Master Artisans using fine handspun wool. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkey. This Turkish style modern kilim rug is handwoven. ;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Hemp;;Orange;Burnt Orange;Charcoal ;Dark Brown;Stripes ;Anatolia;4;10;58;11;2;134;0,15;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;2200;0,1;4400;x;60;200,00;x;x;0
Am10308;Mid Century Modern Turkish Kilim;A beautiful Modern kilim handwoven by Master Artisans using fine handspun wool. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkey. This Turkish style modern kilim rug is handwoven. ;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Pink;Orange;Tan;Black;Stripes;Anatolia;5;4;64;8;1;97;0,15;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;2000;0,1;4000;x;60;200,00;x;x;0
Am10309;Mid Century Modern Plaid Turkish Kilim;A beautiful Modern kilim handwoven by Master Artisans using fine handspun wool. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkey. This Turkish style modern kilim rug is handwoven. ;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;Hemp;Blue;Red;Brown;Tan;Plaid;Anatolia;7;9;93;9;7;115;0,15;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;3150;0,1;6300;x;60;200,00;x;x;0
Am10310;Vintage Modern Colorful Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Orange;Burnt Orange;Green;Yellow;floral;Anatolia;4;4;52;6;0;72;0,16;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;1200;0,1;2400;x;60;200,00;x;x;0
Am10311;Fine Tabriz Oushak Rug;A beautiful Persian Sultanabad mix with Khoton design using handspun high altitude wool dyed in subtle colors.  Hand Knotted by master weavers of Afghanistan & painstakingly finishing process done by Pakistani Artisans makes this rug a masterpiece & takes us back to the late 19th-century era.;Transitional ;Turkish;Traditional;Hand Knotted;Wool;;Ivory;Blue;Gray;Taupe;floral;Pakistan;5;7;67;7;9;93;0,2;One of One Traditional;2010s;;;Excellent condition. Minor wear consistent with age.;2800;0,1;5600;x;60;200,00;x;x;0
Am10312;Antique Persian Mahal ;An exquisite antique  Persian Mahal Sultanabad. Weathered and distressed extremely decorative and highly sort after master piece  ;Traditional;Tribal;Shabby Chic;Hand Knotted;Wool;;Blue;Tan;Green;Taupe;floral;Persia;6;4;76;9;7;115;0,2;Antiques;Early 20th Century;x;x;Excellent condition. Minor wear consistent with age.;7290;0,1;14580;x;60;200,00;x;x;0
Am10313;Fine Tabriz Oushak Rug;A beautiful Persian Sultanabad mix with Khoton design using handspun high altitude wool dyed in subtle colors.  Hand Knotted by master weavers of Afghanistan & painstakingly finishing process done by Pakistani Artisans makes this rug a masterpiece & takes us back to the late 19th-century era.;Transitional ;Turkish;Traditional;Hand Knotted;Wool;;Light Blue;Beige;Ivory;Taupe;floral;Pakistan;5;6;66;7;5;89;0,2;One of One Traditional;2010s;;;Excellent condition. ;2800;0,1;5600;x;60;200,00;x;x;0
Am10314;Fine Tabriz Oushak Rug;A beautiful Persian Sultanabad mix with Khoton design using handspun high altitude wool dyed in subtle colors.  Hand Knotted by master weavers of Afghanistan & painstakingly finishing process done by Pakistani Artisans makes this rug a masterpiece & takes us back to the late 19th-century era.;Transitional ;Turkish;Traditional;Hand Knotted;Wool;;Gray;Silver;Tan;Ivory;floral;Pakistan;5;7;67;7;9;93;0,2;One of One Traditional;2010s;;;Excellent condition. ;2800;0,1;5600;x;60;200,00;x;x;0
Am10315;Vintage Persian Overdyed Rug;Vintage hand knotted Persian rug Overdyed, wool.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Blue;Ink Blue;White;Gray;Solid;Pakistan;6;2;74;9;3;111;0,22;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;2700;0,1;5400;x;60;200,00;x;x;0
Am10317;Modern Ikat Wool Knotted Rug;A beautiful Modern tribal design Hand Knotted by using hand spun finest wool to give the pile softer touch done by Master Artisans.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Gray;Blue;Silver;Charcoal;floral;India;5;1;61;7;0;84;0,2;One of One Modern;2010s;;;Excellent condition. ;2940;0,1;5880;x;60;200,00;x;x;0
Am10318;VIntage Art Deco Rug;Zeki Muren distressed vintage Turkish rug in Art Deco style. Hand Knotted  in Wool;Art Deco;Mid-Century Modern;Industrial ;Hand Knotted;Wool;;Yellow;Pink ;Brown ;Green;Geometric;Anatolia;5;1;61;8;6;102;0,2;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;2000;0,1;4000;x;60;200,00;x;x;0
Am10319;VIntage Art Deco Rug;Zeki Muren distressed vintage Turkish rug in Art Deco style. Hand Knotted  in Wool;Art Deco;Mid-Century Modern;Industrial ;Hand Knotted;Wool;;Yellow;Gold;Blue;Red;Geometric;Anatolia;5;5;65;9;11;119;0,2;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;2250;0,1;4500;x;60;200,00;x;x;0
Am10320;VIntage Art Deco Rug;Zeki Muren distressed vintage Turkish rug in Art Deco style. Hand Knotted  in Wool;Art Deco;Mid-Century Modern;Industrial ;Hand Knotted;Wool;;Red;Yellow;Gold ;Orange;Geometric;Anatolia;5;6;66;7;9;93;0,2;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;1750;0,1;3500;x;60;200,00;x;x;0
Am10321;VIntage Art Deco Rug;Zeki Muren distressed vintage Turkish rug in Art Deco style. Hand Knotted  in Wool;Art Deco;Mid-Century Modern;Industrial ;Hand Knotted;Wool;;Red;Green;Blue;Purple;Geometric;Anatolia;5;11;71;9;3;111;0,2;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;2250;0,1;4500;x;60;200,00;x;x;0
Am10322;VIntage Art Deco Rug;Zeki Muren distressed vintage Turkish rug in Art Deco style. Hand Knotted  in Wool;Art Deco;Mid-Century Modern;Industrial ;Hand Knotted;Wool;;Gray;Orange;Tan;Beige;Geometric;Anatolia;5;8;68;8;1;97;0,2;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;2000;0,1;4000;x;60;200,00;x;x;0
Am10323;VIntage Art Deco Rug;Zeki Muren distressed vintage Turkish rug in Art Deco style. Hand Knotted  in Wool;Art Deco;Mid-Century Modern;Industrial ;Hand Knotted;Wool;;Tan;Pink ;Green;Charcoal;Geometric;Anatolia;5;2;62;8;3;99;0,2;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;2000;0,1;4000;x;60;200,00;x;x;0
Am10324;VIntage Art Deco Rug;Zeki Muren distressed vintage Turkish rug in Art Deco style. Hand Knotted  in Wool;Art Deco;Mid-Century Modern;Industrial ;Hand Knotted;Wool;;Gold;Green;Pink;Purple;Geometric;Anatolia;5;0;60;8;3;99;0,2;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;2000;0,1;4000;x;60;200,00;x;x;0
Am10325;VIntage Art Deco Rug;Zeki Muren distressed vintage Turkish rug in Art Deco style. Hand Knotted  in Wool;Art Deco;Mid-Century Modern;Industrial ;Hand Knotted;Wool;;Yellow;Green;Gold ;Charcoal;Geometric;Anatolia;5;1;61;8;9;105;0,2;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;2000;0,1;4000;x;60;200,00;x;x;0
Am10326;VIntage Art Deco Rug;Zeki Muren distressed vintage Turkish rug in Art Deco style. Hand Knotted  in Wool;Art Deco;Mid-Century Modern;Industrial ;Hand Knotted;Wool;;Green;Pink ;Brown ;Red;Geometric;Anatolia;4;11;59;9;4;112;0,2;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;1800;0,1;3600;x;60;200,00;x;x;0
Am10328;VIntage Art Deco Rug;Zeki Muren distressed vintage Turkish rug in Art Deco style. Hand Knotted  in Wool;Art Deco;Mid-Century Modern;Industrial ;Hand Knotted;Wool;;Green;Gray;Brown ;Tan;Geometric;Anatolia;6;6;78;9;7;115;0,2;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;2700;0,1;5400;x;60;200,00;x;x;0
Am10329;VIntage Art Deco Rug;Zeki Muren distressed vintage Turkish rug in Art Deco style. Hand Knotted  in Wool;Art Deco;Mid-Century Modern;Industrial ;Hand Knotted;Wool;;Brown;Red;Yellow;Blue;Geometric;Anatolia;6;2;74;9;9;117;0,2;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;2700;0,1;5400;x;60;200,00;x;x;0
Am10330;VIntage Art Deco Rug;Zeki Muren distressed vintage Turkish rug in Art Deco style. Hand Knotted  in Wool;Art Deco;Mid-Century Modern;Industrial ;Hand Knotted;Wool;;Tan;Pink ;Yellow;Purple;Geometric;Anatolia;6;1;73;8;10;106;0,2;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;2400;0,1;4800;x;60;200,00;x;x;0
Am10331;VIntage Art Deco Rug;Zeki Muren distressed vintage Turkish rug in Art Deco style. Hand Knotted  in Wool;Art Deco;Mid-Century Modern;Industrial ;Hand Knotted;Wool;;Red;Orange;Yellow;Blue;Geometric;Anatolia;4;4;52;9;9;117;0,2;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;1800;0,1;3600;x;60;200,00;x;x;0
Am10332;VIntage Art Deco Rug;Zeki Muren distressed vintage Turkish rug in Art Deco style. Hand Knotted  in Wool;Art Deco;Mid-Century Modern;Industrial ;Hand Knotted;Wool;;Blue;Ink Blue;Tan;Pink;Geometric;Anatolia;6;1;73;10;2;122;0,2;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;3000;0,1;6000;x;60;200,00;x;x;0
Am10333;VIntage Art Deco Rug;Zeki Muren distressed vintage Turkish rug in Art Deco style. Hand Knotted  in Wool;Art Deco;Mid-Century Modern;Industrial ;Hand Knotted;Wool;;Pink;Green;Blue;Tan;Geometric;Anatolia;6;4;76;8;11;107;0,2;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;2400;0,1;4800;x;60;200,00;x;x;0
Am10334;VIntage Art Deco Rug;Zeki Muren distressed vintage Turkish rug in Art Deco style. Hand Knotted  in Wool;Art Deco;Mid-Century Modern;Industrial ;Hand Knotted;Wool;;Yellow;Black ;Orange;Gold;Geometric;Anatolia;3;11;47;6;4;76;0,2;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;900;0,1;1800;x;60;200,00;x;x;0
Am10336;Modern Vintage  Moroccan Rug;A beautiful Modern design Hand Knotted by using hand spun finest wool to give the pile softer touch done by Master Artisans.;Modern;Moroccan;Boho Chic;Hand Knotted;Wool;;Beige;Blue;Ivory;Tan;Diamond;India;5;2;62;8;5;101;0,2;One of One Modern;2010s;;;Excellent condition. ;1600;0,1;3200;x;60;200,00;x;x;0
Am10337;Mid Century Modern Turkish Kilim;A beautiful Modern kilim handwoven by Master Artisans using fine handspun wool. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkey. This Turkish style modern kilim rug is handwoven. ;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Beige;Blue;Pink;Green;Stripe;Anatolia;6;11;83;10;7;127;0,15;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;2400;0,1;4800;x;60;200,00;x;x;0
Am10338;Mid Century Modern Turkish Kilim;A beautiful Modern kilim handwoven by Master Artisans using fine handspun wool. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkey. This Turkish style modern kilim rug is handwoven. ;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Beige;Ivory;Pink;Gray;Stripe;Anatolia;6;6;78;10;8;128;0,15;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;2400;0,1;4800;x;60;200,00;x;x;0
Am10339;Antique Vegetable Dyed Kilim ;An exquisite antique Turkish kilim;Transitional ;Turkish;Traditional;Hand Knotted;Wool;;Orange;Brown;Green;Tan;Floral;Anatolia;7;2;86;9;0;108;0,17;Antiques;1950s;x;x;Excellent condition. Minor wear consistent with age.;8505;0,1;17010;x;60;200,00;x;x;0
Am10340;Antique Vegetable Dyed  Kilim ;An exquisite antique Turkish kilim;Transitional ;Turkish;Traditional;Hand Knotted;Wool;;Pink;Red;Orange;Purple;Flame stitch;Anatolia;6;3;75;9;9;117;0,17;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;7290;0,1;14580;x;60;200,00;x;x;0
Am10341;Antique Vegetable Dyed  Kilim ;An exquisite antique Turkish kilim;Transitional ;Turkish;Traditional;Hand Knotted;Wool;;Orange;Yellow;Blue;Brown;Stripes;Anatolia;5;7;67;10;4;124;0,15;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;2500;0,1;5000;x;60;200,00;x;x;0
Am10342;Mid Century Modern Turkish Kilim;A beautiful Modern kilim handwoven by Master Artisans using fine handspun wool. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkey. This Turkish style modern kilim rug is handwoven. ;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Tan;Red;Blue;Gold;Geometric;Pakistan;6;6;78;9;7;115;0,15;One of One Traditional;2010s;;;Excellent condition. ;1620;0,1;3240;x;60;200,00;x;x;0
Am10343;Antique Vegetable Dyed  Kilim ;An exquisite triabal antique Turkish kilim;Transitional ;Turkish;Traditional;Hand Knotted;Wool;;Red;Green;Charcoal;Burnt Orange;Geometric;Anatolia;4;10;58;10;3;123;0,17;Antiques;1920s;x;x;Excellent condition. Minor wear consistent with age.;5400;0,1;10800;x;60;200,00;x;x;0
Am10344;Vintage Modern Colorful Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Orange;Burnt Orange;Gold ;Yellow;Solid;Anatolia;6;7;79;14;0;168;0,15;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;4200;0,1;8400;x;60;200,00;x;x;0
Am10345;Vintage Modern Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Hemp;Wool;Gray;Charcoal;Brown ;White;Solid;Anatolia;5;2;62;11;0;132;0,15;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;2750;0,1;5500;x;60;200,00;x;x;0
Am10346;Vintage Modern Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun goat hair in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Tan;Orange;Blue;Red;Geometric;Anatolia;5;7;67;9;2;110;0,15;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;2250;0,1;4500;x;60;200,00;x;x;0
Am10347;Modern Simple Kilim;A beautiful Modern design Hand Knotted by using hand spun finest wool to give the pile softer touch done by Master Artisans.;Modern;Moroccan;Boho Chic;Hand Knotted;Wool;;Ivory;Greige;Tan;Taupe;strie;Pakistan;5;10;70;8;9;105;0,15;One of One Modern;2010s;;;Excellent condition. ;2000;0,1;4000;x;60;200,00;x;x;0
Am10348;Vintage Modern Hemp Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun Hemp in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Hemp;;White;Tan;Black ;Brown;stripe;Anatolia;5;10;70;11;0;132;0,15;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;2750;0,1;5500;x;60;200,00;x;x;0
Am10350;Vintage Modern Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun wool in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Burnt Orange;Purple;Yellow;Orange;Geometric;Anatolia;5;4;64;7;8;92;0,15;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;1750;0,1;3500;x;60;200,00;x;x;0
Am10351;Vintage Modern Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun wool in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Tan;Beige;Ivory;Light Gray;strie;Anatolia;5;5;65;7;5;89;0,15;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;1750;0,1;3500;x;60;200,00;x;x;0
Am10352;Modern Simple Kilim;A beautiful Modern design Hand Knotted by using hand spun finest wool to give the pile softer touch done by Master Artisans.;Modern;Moroccan;Boho Chic;Hand Knotted;Wool;;Brown;Gray;Tan;Greige;stripes;Pakistan;5;10;70;7;8;92;0,15;One of One Modern;2010s;;;Excellent condition. ;1400;0,1;2800;x;60;200,00;x;x;0
Am10353;Vintage Modern Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun wool in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Brown;Beige;Tan;Ivory;stripes;Anatolia;5;6;66;8;8;104;0,15;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;2000;0,1;4000;x;60;200,00;x;x;0
Am10354;Vintage Modern Kilim;A beautiful vintage kilim is handwoven by Master Artisans using handspun wool in Turkey. Kilims are flat woven rugs in a technique that comes from Anatolia, parts of Iran, the Caucasus, and Turkestan. This Mazandaran style minimalist kilim offers simple designs in natural colors.;Mid-Century Modern;Industrial ;Contemporary;Hand Knotted;Wool;;Tan;Greige;Gray;Ivory;strie;Anatolia;4;3;51;5;9;69;0,15;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;1000;0,1;2000;x;60;200,00;x;x;0
Am10355;Vintage fine wool rug;French Aubusson Style fine woven rug;Traditional ;French;Spanish;Hand Knotted;Wool;;Gold;Beige;Green;Taupe;Floral;China;6;3;75;8;10;106;0,14;One of One Traditional;2010s;;;Excellent condition. ;3600;0,1;7200;x;60;200,00;x;x;0
Am10356;Vintage fine wool rug;French Aubusson Style fine woven rug;Traditional ;French;Spanish;Hand Knotted;Wool;;Blue;Gold;Beige;Taupe;Floral;China;7;0;84;7;0;84;0,14;One of One Traditional;2010s;;;Excellent condition. ;3675;0,1;7350;x;60;200,00;x;x;0
Am10358;Antique Khoton Tribal Rug;An exquisite antique Khoton. Weathered and distressed extremely decorative and highly sort after master piece  ;Traditional;Tribal;Shabby Chic;Hand Knotted;Wool;;Orange;Tan;Gold ;Brown;Geometric;China;4;6;54;8;0;96;0,17;Antiques;Early 20th Century;x;x;Excellent condition. Minor wear consistent with age.;4800;0,1;9600;x;60;200,00;x;x;0
Am10359;Antique Oushak Wool Rug;A beautiful Modern tribal design Hand Knotted by using hand spun finest wool to give the pile softer touch done by Master Artisans.;Tribal;Turkish;Shabby Chic;Hand Knotted;Wool;;Red;Charcoal;Gray;Green;floral;Anatolia;4;10;58;7;11;95;0,17;Antiques;Early 20th Century;x;x;Excellent condition. Minor wear consistent with age.;4200;0,1;8400;x;60;200,00;x;x;0
Am10360;Antique Oushak Wool Rug;A beautiful Modern tribal design Hand Knotted by using hand spun finest wool to give the pile softer touch done by Master Artisans.;Tribal;Turkish;Shabby Chic;Hand Knotted;Wool;;Tan;Pink ;Green;Khaki;Geometric;Anatolia;4;10;58;7;8;92;0,17;Antiques;Early 20th Century;x;x;Excellent condition. Minor wear consistent with age.;2100;0,1;4200;x;60;200,00;x;x;0
Am10361;Vintage Moroccan Azilal Rug;A beautiful Modern design Hand Knotted by using hand spun finest wool to give the pile softer touch done by Master Artisans.;Modern;Moroccan;Boho Chic;Hand Knotted;Wool;;Beige;Ivory;Black ;Charcoal;diamond;Morroco;5;3;63;8;8;104;0,4;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;1600;0,1;3200;x;60;200,00;x;x;0
Am10362;Vintage Moroccan Azilal Rug;A beautiful Modern design Hand Knotted by using hand spun finest wool to give the pile softer touch done by Master Artisans.;Modern;Moroccan;Boho Chic;Hand Knotted;Wool;;Beige;Ivory;Black ;Blue;diamond;Morroco;5;2;62;10;0;120;0,4;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;2000;0,1;4000;x;60;200,00;x;x;0
Am10363;Vintage Moroccan Azilal Rug;A beautiful Modern design Hand Knotted by using hand spun finest wool to give the pile softer touch done by Master Artisans.;Modern;Moroccan;Boho Chic;Hand Knotted;Wool;;Red;Beige;Blue;Green;diamond;Morroco;4;6;54;8;10;106;0,4;Vintage;1950s;x;x;Excellent condition. Minor wear consistent with age.;1280;0,1;2560;x;60;200,00;x;x;0
